"m3","y30","y1","m6","y2","y10","y3","time","y5","y7"
"0","3.7600","0.547619","0.350476","0.927143","2.927143","1.316667","2009-04-30","1.858095","2.465238"
"0","4.227000","0.501500","0.303500","0.9295","3.293000","1.3925","2009-05-31","2.134000","2.810500"
"0","4.516364","0.513636","0.314545","1.184091","3.721818","1.759545","2009-06-30","2.705909","3.365000"
"0","4.406818","0.478636","0.279545","1.019091","3.562273","1.548182","2009-07-31","2.462727","3.138182"
"0","4.370952","0.459048","0.269048","1.115238","3.587143","1.648571","2009-08-31","2.570952","3.213810"
"0","4.185714","0.404762","0.207143","0.956190","3.401905","1.477619","2009-09-30","2.369048","3.016667"
"0","4.188571","0.374762","0.160476","0.949048","3.387619","1.463810","2009-10-31","2.332857","2.963333"
"0","4.314737","0.313158","0.154737","0.803158","3.402632","1.316316","2009-11-30","2.230526","2.921579"
"0","4.494091","0.371364","0.167727","0.874545","3.590000","1.383182","2009-12-31","2.340455","3.074545"
"0","4.604737","0.345789","0.148421","0.928947","3.733158","1.492105","2010-01-31","2.484211","3.208947"
"0","4.619474","0.345789","0.181053","0.856842","3.691053","1.401053","2010-02-28","2.363684","3.122632"
"0","4.644783","0.395652","0.225652","0.958696","3.727391","1.505652","2010-03-31","2.433043","3.161739"
"0","4.693182","0.445000","0.244091","1.060455","3.846818","1.638182","2010-04-30","2.581364","3.281818"
"0","4.2860","0.371000","0.223500","0.8305","3.420000","1.319000","2010-05-31","2.180000","2.8610"
"0","4.127727","0.318182","0.190909","0.724545","3.204091","1.174545","2010-06-30","1.996364","2.655909"
"0","3.994286","0.291429","0.200476","0.616667","3.011429","0.978571","2010-07-31","1.762857","2.434286"
"0","3.803182","0.259091","0.191364","0.520455","2.698636","0.783636","2010-08-31","1.465455","2.100455"
"0","3.773333","0.256667","0.193333","0.480000","2.647619","0.741905","2010-09-30","1.410476","2.051429"
"0","3.872500","0.228000","0.176500","0.3760","2.5400","0.5685","2010-10-31","1.182500","1.851500"
"0","4.1860","0.252000","0.1820","0.454000","2.763000","0.6740","2010-11-30","1.3500","2.0235"
"0","4.417727","0.294091","0.193182","0.618182","3.290909","0.993182","2010-12-31","1.934545","2.657727"
"0","4.523000","0.273500","0.1815","0.614500","3.394000","1.027500","2011-01-31","1.994500","2.723500"
"0","4.652105","0.286316","0.168421","0.772632","3.576316","1.283158","2011-02-28","2.257895","2.961579"
"0","4.513913","0.259130","0.156522","0.697391","3.414348","1.174348","2011-03-31","2.113478","2.799130"
"0","4.5015","0.246500","0.119500","0.734500","3.455000","1.2100","2011-04-30","2.1690","2.837000"
"0","4.293333","0.188095","0.086667","0.555238","3.168571","0.935238","2011-05-31","1.842381","2.513810"
"0","4.232727","0.180909","0.101364","0.410455","3.002273","0.711364","2011-06-30","1.580000","2.286818"
"0","4.2705","0.1850","0.084000","0.406500","3.0030","0.6800","2011-07-31","1.5410","2.277000"
"0","3.651304","0.114783","0.062174","0.230435","2.303043","0.383043","2011-08-31","1.021304","1.629130"
"0","3.182381","0.104762","0.043333","0.211429","1.975238","0.353810","2011-09-30","0.900476","1.419524"
"0","3.1280","0.1145","0.054500","0.2805","2.152000","0.471000","2011-10-31","1.061500","1.619000"
"0","3.015500","0.112000","0.046500","0.253500","2.013500","0.393500","2011-11-30","0.9080","1.4520"
"0","2.982381","0.115238","0.048571","0.257143","1.978095","0.387143","2011-12-31","0.891429","1.429048"
"0","3.0260","0.115000","0.065500","0.2405","1.966500","0.358000","2012-01-31","0.8350","1.380500"
"0","3.1090","0.1610","0.1240","0.278000","1.967500","0.384500","2012-02-29","0.831000","1.3735"
"0","3.281364","0.190000","0.142273","0.344545","2.172727","0.507727","2012-03-31","1.017273","1.564545"
"0","3.184286","0.183333","0.139048","0.291905","2.052857","0.431905","2012-04-30","0.894762","1.425238"
"0","2.930909","0.191818","0.145455","0.2850","1.803182","0.388182","2012-05-31","0.761818","1.213182"
"0","2.698095","0.189048","0.148095","0.291905","1.622381","0.389048","2012-06-30","0.711429","1.0800"
"0","2.590000","0.185714","0.145714","0.248095","1.526667","0.330952","2012-07-31","0.619524","0.984286"
